MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
INSTOR_WQX-2530,WEF060-0002,Stream,6,43,23,32.333333333333336,1997,1997,39.2002777777,-85.9094444444,IN
INSTOR_WQX-2531,WEF060-0003,Stream,279,63,8,32.6106311827957,1996,2018,39.2003684901,-85.926622293,IN
INSTOR_WQX-2533,WEL060-0001,Stream,7,13,4.2,6.785714285714286,1997,1997,39.0219444444,-86.2611111111,IN
INSTOR_WQX-2534,WEL070-0001,Stream,7,6.4,2.8,4.771428571428571,1997,1997,39.0844444444,-86.2494444444,IN
INSTOR_WQX-2535,WEL050-0001,Stream,6,16,3.1,7.266666666666667,1997,1997,39.2005555555,-86.2288888888,IN
INSTOR_WQX-2536,WEL050-0002,Stream,6,28,3.9,11.933333333333334,1997,1997,39.1486111111,-86.3466666666,IN
INSTOR_WQX-2537,WEL090-0002,Stream,8,55,7.6,32.95,1997,1997,39.0122222222,-86.5294444444,IN
INSTOR_WQX-2538,WEL090-0003,Stream,255,84,5,16.764293333333335,1996,2018,38.8884379603,-86.5086111111,IN
INSTOR_WQX-2540,WEM020-0001,Stream,9,16,6,9,1998,1999,38.8258333333,-85.6405555555,IN
INSTOR_WQX-2541,WEM020-0002,Stream,228,22,5,11.465384649122807,1999,2018,38.8631960921,-85.627264296,IN
INSTOR_WQX-2542,WEM030-0002,Stream,2,14,12,13,2000,2001,38.7427777777,-85.8433333333,IN
INSTOR_WQX-2543,WEM010-0001,Stream,6,12,5.9,8.533333333333333,1997,1997,38.7797222222,-85.5491666666,IN
INSTOR_WQX-2544,WEM010-0002,Stream,7,12,5.8,8.542857142857143,1997,1997,38.81,-85.6469444444,IN
INSTOR_WQX-2545,WEM020-0003,Stream,7,15,6.7,9.4,1997,1997,38.9475,-85.5013888888,IN
INSTOR_WQX-2546,WEM030-0003,Stream,7,12,6.7,8.7,1997,1997,38.8044444444,-85.6738888888,IN
INSTOR_WQX-2547,WEM040-0001,Stream,6,480,8,110.9,1997,1997,38.7266666666,-85.8336111111,IN
