MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
1VTDECWQ-501123,Winooski River,Stream,3,13.61,7.512,10.230666666666666,2010,2015,44.2758,-72.4287,VT
1VTDECWQ-501125,Winooski River,Stream,28,13.6,3.92,7.2299999999999995,2007,2014,44.2871,-72.409,VT
1VTDECWQ-501126,Winooski River,Stream,9,20.8,5.96,14.337777777777777,2005,2015,44.3472,-72.3603,VT
1VTDECWQ-501127,Winooski River,Stream,6,18.33,12.4,15.443333333333333,2010,2015,44.3501,-72.3566,VT
1VTDECWQ-501128,Winooski River,Stream,6,17.7,5.95,12.258333333333333,2007,2007,44.3519,-72.3475,VT
1VTDECWQ-501129,Winooski River,Stream,10,19.1,13.12,16.56,2004,2015,44.383,-72.3327,VT
1VTDECWQ-501131,Winooski River,Stream,5,24.6,20.8,22.560000000000002,2007,2007,44.3994,-72.3239,VT
1VTDECWQ-501133,Winooski River,Stream,5,21.9,16.8,18.84,2007,2007,44.4066,-72.3104,VT
1VTDECWQ-501146,Kimball Brook,Stream,12,27.8,10.9,17.945833333333333,2013,2015,44.2591,-73.2491,VT
1VTDECWQ-501149,Thorp Brook,Stream,15,53,24.01,35.534666666666666,2013,2015,44.2734,-73.2569,VT
1VTDECWQ-501167,Johns River,Stream,11,29,7.6,18.963636363636365,2010,2010,45.0025,-72.1398,VT
1VTDECWQ-501192,Burr Pond,Lake,6,8.73,7.43,8,2010,2016,43.692,-72.9662,VT
1VTDECWQ-501194,Broad Brook,Stream,1,12,12,12,2004,2004,42.8164,-72.5583,VT
1VTDECWQ-501195,Whetstone Brook,Stream,1,21.9,21.9,21.9,2004,2004,42.85,-72.5711,VT
1VTDECWQ-501196,Whetstone Brook,Stream,1,17.4,17.4,17.4,2004,2004,42.8494,-72.5856,VT
1VTDECWQ-501198,West River,Stream,5,13.3,10.6,11.98,2004,2017,42.9344,-72.6119,VT
1VTDECWQ-501199,West River,Stream,1,4.61,4.61,4.61,2011,2011,42.9372,-72.6139,VT
1VTDECWQ-501201,West River,Stream,2,16.2,14.3,15.25,2003,2017,43.0457,-72.694,VT
1VTDECWQ-501204,Rock River,Stream,2,7.18,6.82,7,2017,2017,42.9486,-72.6658,VT
1VTDECWQ-501205,Grassey Brook,Stream,1,2.17,2.17,2.17,2008,2008,43.0451,-72.5919,VT
1VTDECWQ-501206,Wardsboro Brook Trib 5,Stream,1,0.44,0.44,0.44,2003,2003,43.0069,-72.7983,VT
1VTDECWQ-501212,North Branch Ball Mountain Brook,Stream,1,37.9,37.9,37.9,2008,2008,43.0917,-72.8233,VT
1VTDECWQ-501213,North Branch Ball Mountain Brook,Stream,2,66,33.9,49.95,2004,2017,43.0981,-72.8594,VT
1VTDECWQ-501218,Pinnacle Brook,Stream,1,0.47,0.47,0.47,2003,2003,43.1106,-72.8544,VT
1VTDECWQ-501219,Kidder Brook,Stream,1,6.35,6.35,6.35,2008,2008,43.0974,-72.8603,VT
1VTDECWQ-501222,Kidder Brook,Stream,4,13.3,1.17,5.25,2008,2015,43.0917,-72.8783,VT
1VTDECWQ-501230,Styles Brook,Stream,7,182,75.9,108.08571428571429,2004,2017,43.1096,-72.8866,VT
1VTDECWQ-501231,Stratton Pond Trib 1,Stream,3,276,256,266,2012,2017,43.1209,-72.8995,VT
1VTDECWQ-501233,Stratton Pond Trib 1,Stream,5,326,84.5,172.98,2008,2013,43.1204,-72.9018,VT
1VTDECWQ-501234,East Branch Stratton Trib 1,Stream,1,457,457,457,2012,2012,43.1203,-72.8997,VT
1VTDECWQ-501235,Stratton Pond Trib 2,Stream,2,107,106,106.5,2013,2017,43.1222,-72.9011,VT
1VTDECWQ-501250,West River Trib 31,Stream,1,5.4,5.4,5.4,2008,2008,43.1266,-72.8007,VT
1VTDECWQ-501254,Winhall River,Stream,1,2.57,2.57,2.57,2012,2012,43.14,-72.9339,VT
1VTDECWQ-501255,Cook Brook,Stream,1,4.5,4.5,4.5,2003,2003,43.2233,-72.9078,VT
1VTDECWQ-501256,Eddy Brook,Stream,3,5.36,4.92,5.183333333333334,2005,2016,43.1866,-72.8735,VT
1VTDECWQ-501259,Bromley Mt Brook (Mill Brook Trib #6),Stream,2,123,73.5,98.25,2009,2017,43.2032,-72.9308,VT
1VTDECWQ-501262,Thompsonburg Brook,Stream,1,45.5,45.5,45.5,2017,2017,43.2078,-72.7788,VT
1VTDECWQ-501267,Flood Brook,Stream,1,2.1,2.1,2.1,2006,2006,43.2419,-72.865,VT
1VTDECWQ-501269,Burnt Meadow Brook,Stream,4,15.6,7.16,11.915,2006,2011,43.2295,-72.8605,VT
1VTDECWQ-501273,Sacketts Brook,Stream,2,10.3,9.28,9.79,2003,2012,42.9722,-72.5181,VT
1VTDECWQ-501274,Sacketts Brook,Stream,2,7.77,7.06,7.414999999999999,2008,2012,42.9737,-72.5171,VT
1VTDECWQ-501277,Sacketts Brook,Stream,1,6.28,6.28,6.28,2008,2008,42.9833,-72.525,VT
1VTDECWQ-501278,Sacketts Brook,Stream,1,4.12,4.12,4.12,2008,2008,42.9991,-72.5319,VT
